version account-id interface-id srcaddr dstaddr srcport dstport protocol packets bytes start end action log-status
2 560205084868 eni-086e771b77c2495ae 10.0.1.149 136.35.186.87 5432 58961 6 16 4964 1777093058 1777093089 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 10.0.1.149 136.35.186.87 5432 58968 6 15 4924 1777093058 1777093089 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 136.35.186.87 10.0.1.149 58965 5432 6 14 2720 1777093058 1777093089 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 136.35.186.87 10.0.1.149 58963 5432 6 14 2720 1777093058 1777093089 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 10.0.1.149 194.87.190.127 5432 38294 6 5 431 1777093058 1777093089 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 205.210.31.148 10.0.1.149 49954 10255 6 1 44 1777093058 1777093089 REJECT OK
2 560205084868 eni-086e771b77c2495ae 136.35.186.87 10.0.1.149 58920 5432 6 14 2720 1777093058 1777093089 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 136.35.186.87 10.0.1.149 58961 5432 6 14 2720 1777093058 1777093089 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 10.0.1.149 136.35.186.87 5432 58920 6 15 4924 1777093058 1777093089 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 136.35.186.87 10.0.1.149 58973 5432 6 14 2720 1777093058 1777093089 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 167.94.145.24 10.0.1.149 19591 6379 6 1 60 1777093058 1777093089 REJECT OK
2 560205084868 eni-086e771b77c2495ae 136.35.186.87 10.0.1.149 58970 5432 6 14 2720 1777093058 1777093089 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 10.0.1.149 136.35.186.87 5432 58863 6 15 4924 1777093058 1777093089 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 136.35.186.87 10.0.1.149 58898 5432 6 14 2720 1777093058 1777093089 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 136.35.186.87 10.0.1.149 58801 5432 6 13 2714 1777093058 1777093089 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 136.35.186.87 10.0.1.149 58855 5432 6 13 2714 1777093058 1777093089 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 136.35.186.87 10.0.1.149 58886 5432 6 13 2714 1777093058 1777093089 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 10.0.1.149 136.35.186.87 5432 58874 6 15 4924 1777093058 1777093089 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 136.35.186.87 10.0.1.149 58862 5432 6 13 2714 1777093058 1777093089 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 136.35.186.87 10.0.1.149 58884 5432 6 14 2720 1777093058 1777093089 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 136.35.186.87 10.0.1.149 58842 5432 6 14 2720 1777093058 1777093089 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 10.0.1.149 136.35.186.87 5432 58802 6 15 4924 1777093058 1777093089 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 10.0.1.149 136.35.186.87 5432 58801 6 13 5176 1777093058 1777093089 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 136.35.186.87 10.0.1.149 58863 5432 6 14 2720 1777093058 1777093089 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 10.0.1.149 136.35.186.87 5432 58973 6 16 4964 1777093058 1777093089 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 172.237.155.240 10.0.1.149 42635 995 6 1 52 1777093058 1777093089 REJECT OK
2 560205084868 eni-086e771b77c2495ae 35.203.210.124 10.0.1.149 52489 6555 6 1 44 1777093058 1777093089 REJECT OK
2 560205084868 eni-086e771b77c2495ae 10.0.1.149 136.35.186.87 5432 58937 6 15 4924 1777093058 1777093089 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 136.35.186.87 10.0.1.149 58860 5432 6 14 2720 1777093058 1777093089 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 136.35.186.87 10.0.1.149 58882 5432 6 14 2720 1777093058 1777093089 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 194.87.190.127 10.0.1.149 40496 5432 6 6 361 1777093058 1777093089 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 10.0.1.149 136.35.186.87 5432 58842 6 15 4924 1777093058 1777093089 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 10.0.1.149 136.35.186.87 5432 58828 6 15 4924 1777093058 1777093089 ACCEPT OK
